PDB,Ligand
1G9V,RQ3
1GKC,NFH
1GM8,SOX
1GPK,HUP
1HNN,SKF
1HP0,AD3
1HQ2,PH2
1HVY,D16
1HWI,115
1HWW,SWA
1IA1,TQ3
1IG3,VIB
1J3J,CP6
1JD0,AZM
1JJE,BYS
1JLA,TNK
1K3U,IAD
1KE5,LS1
1KZK,JE2
1L2S,STC
1L7F,BCZ
1LPZ,CMB
1LRH,NLA
1M2Z,DEX
1MEH,MOA
1MMV,3AR
1MZC,BNE
1N1M,A3M
1N2J,PAF
1N2V,BDI
1N46,PFA
1NAV,IH5
1OF1,SCT
1OF6,DTY
1OPK,P16
1OQ5,CEL
1OWE,675
1OYT,FSN
1P2Y,NCT
1P62,GEO
1PMN,984
1Q1G,MTI
1Q41,IXM
1Q4G,BFL
1R1H,BIR
1R55,097
1R58,AO5
1R9O,FLP
1S19,MC9
1S3V,TQD
1SG0,STL
1SJ0,E4D
1SQ5,PAU
1SQN,NDR
1T40,ID5
1T46,STI
1T9B,1CS
1TOW,CRZ
1TT1,KAI
1TZ8,DES
1U1C,BAU
1U4D,DBQ
1UML,FR4
1UNL,RRC
1UOU,CMU
1V0P,PVB
1V48,HA1
1V4S,MRK
1VCJ,IBA
1W1P,GIO
1W2G,THM
1X8X,TYR
1XM6,5RM
1XOQ,ROF
1XOZ,CIA
1Y6B,AAX
1YGC,905
1YQY,915
1YV3,BIT
1YVF,PH7
1YWR,LI9
1Z95,198
2BM2,PM2
2BR1,PFP
2BSM,BSM
